main,symptoms,diabetes,tell,may,treat,bruxism,cause,stroke
0.030575,0.0037044,-0.0034994,0.056607,-0.0033116,0.03596,0.0059577,-0.010816,-0.012613
0.015364,-0.03845,-0.070985,-0.050157,0.1294,-0.011558,-0.015615,-0.0074848,-0.080466
-0.016451,0.062537,-0.063453,0.0094148,-0.010303,-0.0087604,0.043503,0.023364,-0.0096221
0.044674,-0.035705,0.05504,0.060611,0.10716,0.13168,-0.064374,-0.0079772,0.045242
-0.0020337,-0.037115,-0.054343,0.016629,-0.029208,-0.015488,-0.082092,-0.047984,0.012151
-0.00057168,-0.098193,-0.066314,0.012217,0.029077,-0.1098,-0.058241,-0.041963,-0.01236
-0.06755,0.012525,0.041479,0.043397,0.015076,0.00069612,-0.082656,-0.0047612,0.021285
-0.02526,-0.034482,0.00023791,0.049286,-0.02438,0.05394,0.033436,0.021291,-0.066785
0.021838,-0.045323,0.00036825,-0.0044384,0.0030325,-0.028723,0.0060745,-0.062721,0.039969
0.057154,-0.031489,-0.036728,-0.032836,-0.029449,0.012673,-0.080917,-0.071982,-0.040335
0.03616,-0.0072032,-0.038235,-0.075898,-0.094931,-0.06815,-0.099004,-0.076994,0.006414
0.014531,0.011406,-0.045229,-0.06107,-0.078785,0.063928,0.019039,-0.058103,-0.030679
0.036696,0.059544,0.035955,0.041418,0.025019,0.029327,0.034571,0.12935,-0.045632
-0.082673,-0.068693,-0.17733,-0.049743,0.024099,0.039951,-0.029354,-0.035108,-0.10842
0.0892,0.048553,0.047895,0.11798,0.18086,0.12365,0.023219,0.11659,0.076734
0.060966,0.030139,0.031824,-0.14989,-0.059759,-0.045383,0.01688,0.039403,0.015454
0.03858,-0.050544,0.03135,-0.044828,-0.034571,0.05992,0.017937,-0.0026057,-0.090119
-0.043259,-0.0010156,-0.027645,-0.0028903,0.0072786,0.057061,0.014953,0.011584,0.07712
-0.065302,-0.017191,0.031057,-0.028901,-0.010409,-0.022385,0.01051,-0.017347,0.048873
-0.014583,-0.045126,0.010295,-0.02993,-0.11788,0.017259,-0.017826,-0.025574,0.15763
0.043904,-0.026195,-0.058727,-0.01386,0.010432,-0.034527,-0.028353,0.034495,-0.055653
0.08107,0.044369,0.047242,-0.022965,0.041133,-0.048542,0.032715,0.052419,0.090978
-0.012546,-0.018824,0.095181,-0.015836,0.099814,0.00012593,0.066563,0.025488,-0.025853
-0.064463,-0.080531,-0.098328,-0.14039,-0.12818,-0.13197,-0.055415,-0.12722,-0.11412
0.0079851,0.027316,0.037751,-0.16472,-0.008641,0.0065863,-0.033014,-0.076609,0.0013505
0.035456,-0.052299,-0.03945,0.04843,-0.097555,0.053627,0.042466,-0.00562,-0.017315
0.064051,-0.0010417,0.080929,-0.04868,-0.18713,-0.059809,-0.023204,-0.082295,0.041056
-0.040001,-0.032357,0.043448,0.092502,-0.018002,0.056612,-0.049358,-0.027461,-0.032475
-0.013152,0.015869,0.080581,0.051401,-0.00015811,0.05173,0.062895,-0.045871,0.056472
-0.057861,0.065672,-0.0041131,0.077502,0.0054797,0.11244,0.047114,0.033903,0.02331
0.001587,-0.012156,-0.061679,0.011846,-0.089355,0.021872,-0.018612,-0.021103,-0.011187
0.040689,0.057869,0.0036444,0.10314,-0.01748,0.0080827,-0.0085446,-0.041934,0.027189
0.0037488,0.016125,-0.018214,0.0087231,-0.019903,0.021226,0.041484,-0.056296,-0.039825
0.023652,-0.01991,0.0078706,-0.031408,0.034997,-0.092463,0.022295,0.079072,0.072916
0.036154,0.038151,-0.013104,0.033247,0.021201,-0.054267,-0.024911,0.0047903,0.026134
-0.02317,0.083825,0.059158,-0.063094,0.021611,0.01032,-0.0071763,0.0019462,0.022326
-0.17175,0.0046508,-0.026297,-0.17415,-0.16381,-0.1543,-0.026228,-0.11021,-0.024215
-0.039985,-0.018845,0.054705,0.031142,0.012813,0.013277,-0.02134,-0.036235,-0.051728
-0.051415,-0.078524,0.027733,-0.029429,-0.13127,-0.0093565,-0.020046,-0.079861,-0.090485
0.024233,-0.10761,0.0090779,0.053516,0.04151,-0.064327,0.0088052,0.042851,0.013354
0.025597,-0.03199,0.029543,0.10452,-0.061939,-0.074153,0.011381,-0.030525,-0.020106
0.051452,-0.0058465,-0.016551,0.043326,0.034948,-0.062657,-0.011058,0.053816,-0.021331
0.049077,0.00055309,0.032817,0.12141,0.02616,0.072904,0.027728,0.094405,0.019448
0.061168,0.064986,0.051238,0.089131,0.097844,0.066001,0.068947,0.072996,0.10114
0.028551,0.10238,0.06158,-0.0052967,0.056832,0.04671,0.061589,0.053169,0.10313
0.054237,0.08684,0.0022786,-0.0076433,0.012757,0.029945,0.0094565,0.071377,0.053334
-0.026456,0.036632,0.059284,-0.011981,0.024132,0.005371,0.03331,0.0041033,0.042432
-0.039315,-0.0032684,-0.034204,-0.095666,-0.09061,-0.021939,-0.090552,0.0047952,-0.021479
0.00017508,-0.0017839,-0.048667,0.045863,0.012587,-0.048469,0.027519,-0.066926,-0.02144
